book,chapter,title,totalChars,dialogueChars,dialogueRatio,sentenceCount,avgSentenceLen,bannedHits
一睁眼，前夫成了我懒汉相公,173,他脑子里在想些什么？,3039,776,25.5,156,19.5,2
一睁眼，前夫成了我懒汉相公,174,主动认错,3079,552,17.9,141,21.8,5
一睁眼，前夫成了我懒汉相公,175,初步成功,2009,284,14.1,92,21.8,1
一睁眼，前夫成了我懒汉相公,176,隐患,2119,616,29.1,91,23.3,1
一睁眼，前夫成了我懒汉相公,177,施老爷约见,2056,630,30.6,105,19.6,2
一睁眼，前夫成了我懒汉相公,178,还是男科,2075,618,29.8,100,20.8,2
一睁眼，前夫成了我懒汉相公,179,新药品,2011,606,30.1,99,20.3,1
一睁眼，前夫成了我懒汉相公,180,完成,2062,486,23.6,96,21.5,1
一睁眼，前夫成了我懒汉相公,181,谈价,3030,970,32.0,137,22.1,1
一睁眼，前夫成了我懒汉相公,184,林复白你个混蛋,2999,733,24.4,160,18.7,1
一睁眼，前夫成了我懒汉相公,185,原来他也是一样,3020,596,19.7,154,19.6,3
一睁眼，前夫成了我懒汉相公,186,今年一定要娶上媳妇,3044,582,19.1,136,22.4,2
一睁眼，前夫成了我懒汉相公,187,自己送上门来,3122,738,23.6,134,23.3,1
一睁眼，前夫成了我懒汉相公,188,以后你不会算计我吧？,2043,503,24.6,106,19.3,2
一睁眼，前夫成了我懒汉相公,189,想法非常的超前,2019,310,15.4,83,24.3,0
一睁眼，前夫成了我懒汉相公,190,再见施婉晴,2040,544,26.7,100,20.4,1
一睁眼，前夫成了我懒汉相公,190,回到最初的合作,2023,746,36.9,92,22.0,3
一睁眼，前夫成了我懒汉相公,191,暂时还不能在明面上卖,2045,471,23.0,100,20.4,0
一睁眼，前夫成了我懒汉相公,192,越发的顺眼了,2103,642,30.5,88,23.9,2
一睁眼，前夫成了我懒汉相公,193,真相在他手里,3001,591,19.7,135,22.2,2
一睁眼，前夫成了我懒汉相公,194,第二次有人把他气笑,3127,1150,36.8,158,19.8,2
一睁眼，前夫成了我懒汉相公,195,快要入土的同伴,3027,818,27.0,152,19.9,4
一睁眼，前夫成了我懒汉相公,196,出门在外，哪有不出意外的,3051,596,19.5,174,17.5,2
一睁眼，前夫成了我懒汉相公,197,就是一个阴谋,3035,1116,36.8,163,18.6,0
一睁眼，前夫成了我懒汉相公,198,反击,3221,727,22.6,152,21.2,5
一睁眼，前夫成了我懒汉相公,199,为什么要去招惹这样一个疯子,3020,770,25.5,141,21.4,1
一睁眼，前夫成了我懒汉相公,200,胡原的把柄,3041,1134,37.3,159,19.1,0
一睁眼，前夫成了我懒汉相公,201,这年头，男子走在外面也不安全,3023,533,17.6,138,21.9,1
一睁眼，前夫成了我懒汉相公,202,竟然活过来了？,3003,522,17.4,131,22.9,1
一睁眼，前夫成了我懒汉相公,203,终于盼回来了,3046,750,24.6,142,21.5,0
一睁眼，前夫成了我懒汉相公,204,蓝衣女子,3050,897,29.4,151,20.2,2
一睁眼，前夫成了我懒汉相公,205,似乎也没想象中那么坏,2972,374,12.6,104,28.6,0
一睁眼，前夫成了我懒汉相公,206,要卖宅子？,3064,422,13.8,133,23.0,2
一睁眼，前夫成了我懒汉相公,207,终于来了！,3027,1240,41.0,161,18.8,3
一睁眼，前夫成了我懒汉相公,208,挟持,3115,1026,32.9,153,20.4,3
一睁眼，前夫成了我懒汉相公,210,终于有自己的房子了,3060,636,20.8,124,24.7,1
一睁眼，前夫成了我懒汉相公,211,案首之争,3087,1220,39.5,118,26.2,1
一睁眼，前夫成了我懒汉相公,212,知府召见,3300,921,27.9,161,20.5,0
一睁眼，前夫成了我懒汉相公,213,一听就是丑八怪,3013,1153,38.3,121,24.9,0
一睁眼，前夫成了我懒汉相公,214,也算是做了件好事,3265,871,26.7,133,24.5,4
一睁眼，前夫成了我懒汉相公,215,你跟我走,2092,372,17.8,90,23.2,2
一睁眼，前夫成了我懒汉相公,216,吴然,2219,402,18.1,101,22.0,1
一睁眼，前夫成了我懒汉相公,217,冤大头,1950,730,37.4,87,22.4,2
一睁眼，前夫成了我懒汉相公,218,到底是怎么做到的？,2018,169,8.4,75,26.9,1
一睁眼，前夫成了我懒汉相公,219,决定他命运的时候到了,2029,974,48.0,91,22.3,3
一睁眼，前夫成了我懒汉相公,220,本书生略懂些拳脚,2049,618,30.2,101,20.3,4
一睁眼，前夫成了我懒汉相公,221,见到你真好,1909,428,22.4,91,21.0,1
一睁眼，前夫成了我懒汉相公,222,你有点肉麻了,2200,587,26.7,106,20.8,1
一睁眼，前夫成了我懒汉相公,223,我真成吃软饭的了,2184,406,18.6,94,23.2,1
一睁眼，前夫成了我懒汉相公,224,诡计多端的男人,2980,761,25.5,154,19.4,3
一睁眼，前夫成了我懒汉相公,225,最后亿次,3067,377,12.3,158,19.4,2
一睁眼，前夫成了我懒汉相公,226,两个人凑不出一个完整的脑子,3063,633,20.7,145,21.1,0
一睁眼，前夫成了我懒汉相公,227,做生意，哪有抢钱来得快,3042,761,25.0,146,20.8,1
一睁眼，前夫成了我懒汉相公,228,猜测,3076,860,28.0,143,21.5,0
一睁眼，前夫成了我懒汉相公,229,痛，实在是太痛了！,3094,283,9.1,120,25.8,1
一睁眼，前夫成了我懒汉相公,230,时间不多了,1984,385,19.4,96,20.7,1
一睁眼，前夫成了我懒汉相公,231,他是不要命了吗？,2012,12,0.6,79,25.5,1
一睁眼，前夫成了我懒汉相公,232,你醒了？,2007,206,10.3,86,23.3,5
一睁眼，前夫成了我懒汉相公,233,我有办法,2000,136,6.8,81,24.7,0
一睁眼，前夫成了我懒汉相公,234,救人,2381,146,6.1,104,22.9,1
一睁眼，前夫成了我懒汉相公,235,张小姐,1856,319,17.2,81,22.9,3
一睁眼，前夫成了我懒汉相公,236,没出息的家伙,3067,981,32.0,159,19.3,0
一睁眼，前夫成了我懒汉相公,237,问话,3107,764,24.6,143,21.7,1
一睁眼，前夫成了我懒汉相公,238,你才要死了,3040,1192,39.2,162,18.8,1
一睁眼，前夫成了我懒汉相公,239,造谣,3195,1048,32.8,182,17.6,0
一睁眼，前夫成了我懒汉相公,240,被利用了,2005,396,19.8,89,22.5,0
一睁眼，前夫成了我懒汉相公,241,亲事,2075,981,47.3,105,19.8,0
一睁眼，前夫成了我懒汉相公,242,收拾,2040,396,19.4,95,21.5,0
一睁眼，前夫成了我懒汉相公,243,万福楼,2016,386,19.1,91,22.2,0
一睁眼，前夫成了我懒汉相公,244,陆呈的突发奇想,2025,322,15.9,81,25.0,0
一睁眼，前夫成了我懒汉相公,245,制冰,2043,451,22.1,113,18.1,3
一睁眼，前夫成了我懒汉相公,246,挖地窖,2047,342,16.7,92,22.2,1
一睁眼，前夫成了我懒汉相公,247,意外的来人,2082,503,24.2,109,19.1,0
一睁眼，前夫成了我懒汉相公,248,哪里出了问题？,2039,490,24.0,89,22.9,0
一睁眼，前夫成了我懒汉相公,249,贼心不死,2093,526,25.1,114,18.4,0
一睁眼，前夫成了我懒汉相公,250,看完他，我觉得我家猪都眉清目秀,2037,716,35.1,108,18.9,0
一睁眼，前夫成了我懒汉相公,251,他会不会是不喜欢女人？,2016,310,15.4,91,22.2,1
一睁眼，前夫成了我懒汉相公,252,没脑子才好,2021,356,17.6,102,19.8,1
一睁眼，前夫成了我懒汉相公,253,看戏去,2085,406,19.5,107,19.5,2
一睁眼，前夫成了我懒汉相公,254,你不是叫王献吗？,2023,627,31.0,131,15.4,1
一睁眼，前夫成了我懒汉相公,255,好热闹的一出戏,2005,368,18.4,99,20.3,1
一睁眼，前夫成了我懒汉相公,256,又涨了,1998,428,21.4,101,19.8,2
一睁眼，前夫成了我懒汉相公,257,暑厥,2064,417,20.2,113,18.3,0
一睁眼，前夫成了我懒汉相公,258,真是怪事了,2039,581,28.5,109,18.7,0
一睁眼，前夫成了我懒汉相公,259,问世间情为何物,2046,764,37.3,101,20.3,3
一睁眼，前夫成了我懒汉相公,260,暗示,2096,643,30.7,112,18.7,4
一睁眼，前夫成了我懒汉相公,261,冲着他来的？,1955,254,13.0,86,22.7,1
一睁眼，前夫成了我懒汉相公,262,心虚,1994,358,18.0,97,20.6,1
一睁眼，前夫成了我懒汉相公,263,我相信他,2071,492,23.8,110,18.8,1
一睁眼，前夫成了我懒汉相公,264,报官,2015,435,21.6,107,18.8,1
一睁眼，前夫成了我懒汉相公,265,我应该意外吗？,2038,664,32.6,114,17.9,3
一睁眼，前夫成了我懒汉相公,266,你姓苏？,2076,578,27.8,97,21.4,1
一睁眼，前夫成了我懒汉相公,267,熟人,1981,597,30.1,111,17.8,1
一睁眼，前夫成了我懒汉相公,268,、,2053,441,21.5,96,21.4,0
一睁眼，前夫成了我懒汉相公,269,、,2063,736,35.7,106,19.5,1
一睁眼，前夫成了我懒汉相公,270,、,2097,302,14.4,105,20.0,3
一睁眼，前夫成了我懒汉相公,271,、,2410,748,31.0,132,18.3,1
一睁眼，前夫成了我懒汉相公,272,终于得到了消息,2134,652,30.6,105,20.3,0
一睁眼，前夫成了我懒汉相公,273,当真做出来了？,2052,588,28.7,94,21.8,1
